Start Time,End Time,Sentence,Translation,Emotion
"00:12:49,000","00:12:50,000","Aan je naam, Pittighor.","By your name, Pittighor.",neutral
"00:12:50,000","00:12:51,000",Ik kom natuurlijk letsen.,"I'm here, of course.",neutral
"00:12:51,000","00:12:54,000",Dat zult u weten over het gedomende buurvrouw.,You'll know about the watery neighbor.,neutral
"00:12:54,000","00:12:55,000",Dat is helemaal goed.,That's totally good.,surprise
"00:12:55,000","00:12:57,000","Je moet u even de jas aan trekken, want dan gaan we ervan over neen.","You're gonna have to put on the coat, because then we're gonna have to take the no.",happiness
"00:12:57,000","00:12:58,000","Ja, ik geef jou even.","Yeah, I'll give you a minute.",neutral
"00:12:58,000","00:12:59,000",Arsje blijft.,Arsje stays.,neutral
"00:12:59,000","00:13:00,000",Graag voor rond.,I'd like it round.,neutral
"00:13:00,000","00:13:01,000",Ja.,Yeah.,neutral
"00:13:01,000","00:13:02,000",Ja.,Yeah.,neutral
"00:13:02,000","00:13:04,000","Nou, hij is er niet voor blij om te zien.","Well, he's not happy to see it.",fear
"00:13:06,000","00:13:07,000","Hei, hei.","Hey, hey.",neutral
"00:13:07,000","00:13:08,000","Ja, ik dacht trouwens je weer.","Yeah, I thought you again, by the way.",disgust
"00:13:08,000","00:13:10,000","Ben jij een slecht les, kan maar.","You're a bad lesson, that's all.",happiness
"00:13:10,000","00:13:11,000","Chop, chop.","Chop, chop.",surprise
"00:13:11,000","00:13:14,000",Want ik wil eigenlijk eerst even met u hier zo omheen lopen.,'Cause I'd like to walk around here with you first.,neutral
"00:13:14,000","00:13:15,000",Ja.,Yeah.,neutral
"00:13:15,000","00:13:16,000",Ik ga met je mee.,I'm coming with you.,surprise
"00:13:16,000","00:13:17,000",Om over de auto's te prater.,To talk about the cars.,neutral
"00:13:17,000","00:13:20,000",Want de buurvrouw vindt het allemaal wat veel.,'Cause the neighbor thinks it's a lot of stuff.,happiness
"00:13:20,000","00:13:21,000",Dat kan ze vinden.,She can find that.,neutral
"00:13:21,000","00:13:23,000",Want hoeveel auto's zijn er in totaal?,Because how many cars are there in total?,neutral
"00:13:23,000","00:13:24,000",Ik heb drie auto's.,I've got three cars.,neutral
"00:13:24,000","00:13:25,000",Dree auto's.,Dree cars.,neutral
"00:13:25,000","00:13:26,000",Dat slaap van de hele familie.,That's the whole family's sleep.,surprise
"00:13:26,000","00:13:27,000","Ja, dat klopt.","Yeah, that's right.",surprise
"00:13:27,000","00:13:31,000","De buurvrouw zegt, iedereen heeft zijn eigen pakkeervak bij zijn appartement.",Neighbor says everyone's got their own package box at their apartment.,neutral
"00:13:31,000","00:13:34,000","En wie loopt tot aande, P, met andere woorden.","And who walks to the next, P, in other words.",neutral
"00:13:34,000","00:13:38,000","U staat er ruim overheen, u bent in overtreiding.",You're in over your head. You're in over your head.,happiness
"00:13:38,000","00:13:41,000","Ja, dan maar we hebben jarlijks VVE-vangageringen,","Yeah, well, we do have jolly V.V.V. capture rings,",neutral
"00:13:41,000","00:13:45,000",waarin het pakkeerproblem aan de orde is gekomen.,where the suits have been dealt with.,neutral
"00:13:45,000","00:13:49,000",Want er is gewoon te weinig pakkeerplek voor alle woningen.,'Cause there's just not enough gauntlet for all the houses.,fear
"00:13:49,000","00:13:55,000",En de andere bewoners hebben er geen problemen mee dat de auto's dubbel gepekeerd staan.,And the other people have no problem with the cars being double-readed.,neutral
"00:13:55,000","00:13:57,000",Hij heeft de toestemming gekregen.,He's got the clearance.,neutral
"00:13:57,000","00:13:58,000",Ja.,Yeah.,neutral
"00:13:58,000","00:13:59,000","Oké, schriftelig.","Okay, in writing.",neutral
"00:13:59,000","00:14:01,000",Dus u mag zo staan van de vereniging van het genaag.,So you may stand this way from the union of the genesis.,neutral
"00:14:01,000","00:14:02,000","Ja, dat klopt.","Yeah, that's right.",surprise
"00:14:02,000","00:14:05,000",Maar dan is er ook nog een camper.,But then there's a RV.,neutral
"00:14:05,000","00:14:06,000",Ja.,Yeah.,neutral
"00:14:06,000","00:14:07,000",En die staat hier ook wel eens hebben gegeven.,And that one's been given here sometimes.,neutral
"00:14:07,000","00:14:08,000",Ja.,Yeah.,neutral
"00:14:08,000","00:14:09,000",Dat klopt.,That's right.,surprise
"00:14:09,000","00:14:15,000","En het huishoudelijk reglement is opgenomen dat caravans, campers, andersins, mogen...","And the domestic regulations have been included that caravans, RVs, Anderss, may...",neutral
"00:14:15,000","00:14:19,000",10 dagen voor de doorgepakeerd zijn.,10 days before they're taken.,neutral
"00:14:19,000","00:14:23,000","Oké, nou, daar is de buurvrouw of niet van op de hoogte of zes tenip mee eens.","Okay, well, that's what the neighbor knows or doesn't know or six tenips agree.",neutral
"00:14:23,000","00:14:26,000","Dat is tenip mee eens, dus dat is duidelijk.","Tenip agrees, so that's obvious.",disgust
"00:14:29,000","00:14:32,000",Volgens de buurvrouw heeft zij toestemming gekregen van de VVE...,"According to the neighbor, she received permission from the VVE...",neutral
"00:14:32,000","00:14:34,000","om de auto's dubbel te pakkenen, buiten het vak.","to double-trap the cars, outside the box.",neutral
"00:14:34,000","00:14:39,000",En de camper mag er volgens haar 10 dagen achter elkaar staan.,"And according to her, the camper's allowed 10 days in a row.",neutral
"00:14:40,000","00:14:45,000","Ze is hier ook, maar wel, dus ze is direct in de bestuur van de VVE-gegaan.","She's here, too, but she is, so she went straight on the board of the VVE.",neutral
"00:14:45,000","00:14:48,000",En ze hebben eigenlijk een met de opzichte maken.,And they actually have one to make the point.,disgust
"00:14:48,000","00:14:52,000",En de door het benieuwd zijn reëim opgemaart worden.,And the intriguing reality is being magnified.,fear
"00:14:52,000","00:14:56,000",En die hantje klaar bijvonden tafel door bekanksluft.,And that guy who's getting laid out the table by the knuckle-sluff.,surprise
"00:14:56,000","00:14:58,000",Ze heeft hantje klaar gelap.,She's ready to go.,neutral
"00:14:58,000","00:14:59,000","Ja, dat vernoedde ik.","Yeah, I humiliated that.",neutral
"00:14:59,000","00:15:01,000",Toen ze zelf in het bestuur...,When she was on the board...,neutral
"00:15:01,000","00:15:02,000","Ja, ze zitten nog.","Yeah, they're still in there.",neutral
"00:15:02,000","00:15:03,000","O, ze is bestuurslit.","Oh, she's a board member.",neutral
"00:15:03,000","00:15:04,000",Ja.,Yeah.,neutral
"00:15:04,000","00:15:05,000",Lekker makkelijk.,It's easy.,surprise
"00:15:05,000","00:15:06,000","Ja, het is makkelijk.","Yeah, it's easy.",neutral
"00:15:06,000","00:15:08,000",Je hebt precies daar je aan het zin te zijn.,You've got the sense to be right there.,happiness
"00:15:08,000","00:15:10,000","En ze gaat niet, de macht niet.","And she's not going, not the power.",happiness
"00:15:13,000","00:15:15,000",Dan hebben we nog het volgende probleem.,"Okay, here's the problem.",neutral
"00:15:15,000","00:15:16,000",Je mag een levere neerzetten hoor.,You can put down a liver.,neutral
"00:15:16,000","00:15:17,000",Ja.,Yeah.,neutral
"00:15:17,000","00:15:18,000",En dan gaan we kijken.,And then we'll check it out.,neutral
"00:15:18,000","00:15:19,000",U zou gescholen hebben.,You were supposed to have been a schoolgirl.,happiness
"00:15:19,000","00:15:20,000",En niet zo'n beetje ook.,And not so much.,neutral
"00:15:20,000","00:15:21,000","Ja, dat klopt.","Yeah, that's right.",surprise
"00:15:21,000","00:15:23,000","Oh, dat bent u wel heel eerlijk in.","Oh, you're being very honest.",disgust
"00:15:23,000","00:15:24,000","Ja, dat klopt.","Yeah, that's right.",surprise
"00:15:24,000","00:15:26,000",Maar het heeft u wel een mategelige gezicht.,But it does have a small face.,fear
"00:15:26,000","00:15:28,000",Iets waar de honder geen brood van lusten.,Something the Hundred wouldn't like.,fear
"00:15:28,000","00:15:29,000",Ja.,Yeah.,neutral
"00:15:29,000","00:15:32,000",Maar zij heeft mij hier twee keer geprobeerd aan te rijden op de parkerplaats.,But she tried to drive me here twice in the parking lot.,happiness
"00:15:32,000","00:15:33,000",Ze weet je het toe.,She knows you.,neutral
"00:15:33,000","00:15:35,000",Als in express.,"As in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in, uh, as in.... as in, uh, as in, uh, as in.... as in, uh, as in.......",neutral
"00:15:35,000","00:15:38,000","Ja, wij zaten, het was vrij zoldig weer.","Yeah, we were sitting, it was pretty crazy weather.",surprise
"00:15:38,000","00:15:40,000",Er staat hier bankjes daar zaten wij op.,"There's desks over here, we're sitting on them.",neutral
"00:15:40,000","00:15:41,000",Mijn m'n dochter en ik.,My daughter and I.,neutral
"00:15:41,000","00:15:43,000",Mijn man was bezig met tuin onroute.,My husband was on a garden route.,neutral
"00:15:43,000","00:15:46,000",En hij vroeg aan mij of ik een container wilde gaan halen.,And he asked me to go get a Dumpster.,neutral
"00:15:46,000","00:15:47,000",Dus ik ben opgestaan.,So I got up.,neutral
"00:15:47,000","00:15:49,000",Ik loop van die bankjes weg.,I'm walking away from those couches.,neutral
"00:15:49,000","00:15:52,000",En zij komt volgas hier de pekerplaats op.,And she's gonna get full of gas into the pecking ground here.,neutral
"00:15:52,000","00:15:53,000",En toen?,And then what?,neutral
"00:15:53,000","00:15:55,000",Zij stopten op zo'n stukje voor mij.,They stopped on one of those pieces for me.,neutral
"00:15:57,000","00:15:58,000",Mijn duur geschokken?,Shocked my expensive?,neutral
"00:15:58,000","00:15:59,000","Ja, heel erg.","Yes, very much.",neutral
"00:15:59,000","00:16:00,000",Ja.,Yeah.,neutral
"00:16:00,000","00:16:03,000",En u denkt dus dat ze dat express geeft.,And you think she's giving it to you on purpose.,neutral
"00:16:03,000","00:16:04,000",Hoe dat weet ik zeker.,How can I be sure?,neutral
"00:16:04,000","00:16:10,000",Volgens de buuren heeft u een parkje geprobeerd.,"According to the neighbors, you've tried a park.",disgust
"00:16:10,000","00:16:11,000","Ja, ik zeg het wel gewoon.","Yeah, I'll just say it.",neutral
"00:16:11,000","00:16:13,000",De buur vooral aan te rijden.,Mostly to hit the neighbor.,neutral
"00:16:13,000","00:16:17,000",Heb ik nooit geprobeerd.,I never tried.,neutral
"00:16:17,000","00:16:20,000","Maar mama, u had een bloedhekelander.","But, Mama, you had a blood hekelander.",happiness
"00:16:20,000","00:16:25,000","Nou, ze had ook gewoon...","Well, she had just...",neutral
"00:16:25,000","00:16:27,000",Heb ik nooit gedaan?,I never did?,neutral
"00:16:27,000","00:16:29,000",Maar hoe kom ze daar dan bij?,But how did she get that idea?,neutral
"00:16:29,000","00:16:31,000",Zij heeft dat gevoel wel.,She does have that feeling.,surprise
"00:16:31,000","00:16:34,000","Als ze bijna zie ik komen, dan gaat ze niet.","If they almost see me coming, she's not going.",fear
"00:16:34,000","00:16:35,000","Als ze niet, staat daar links.","If she doesn't, it's on the left.",neutral
"00:16:35,000","00:16:37,000",En ik kom zeer daar rechts.,And I'm gonna get right over there.,neutral
"00:16:37,000","00:16:38,000",En waarom doet ze dat?,And why does she do that?,neutral
"00:16:38,000","00:16:41,000","Ja, dat is van de ik voor de aangereen.","Yeah, that's me for the ted.",neutral
"00:16:41,000","00:16:43,000",Want dat gerucht heb ik ook goed.,"'Cause I got that rumour right, too.",neutral
"00:16:43,000","00:16:46,000",U denkt dat ze u in een kwam dag ligt.,You think she's gonna lay you down in one day.,fear
"00:16:46,000","00:16:48,000","Ja, daar is er ook me bezig.","Yeah, that's where I'm at.",neutral
"00:16:48,000","00:16:50,000",En daar is alleen een boos me bezig.,And there's just an angry one working on me.,happiness
"00:16:52,000","00:16:56,000",De buurvrouw zegt dat u juist de gene bent die op haar af komt.,The neighbor says you're the one who's coming at her.,disgust
"00:16:56,000","00:16:58,000",Dat is absoluut niet waar.,That is absolutely not true.,happiness
"00:16:58,000","00:17:00,000",Zij rijdt op mij af.,She's heading for me.,happiness
"00:17:00,000","00:17:01,000",En ik bevries.,And I freeze.,neutral
"00:17:01,000","00:17:04,000",Dat komt door dat ik te zieken van Edison heb.,It's because I have Edison's disease.,disgust
"00:17:04,000","00:17:06,000",En wat houdt de ziekte van Edison in?,And what does Edison's disease mean?,neutral
"00:17:06,000","00:17:08,000","Ik maak geen stressormoon aan,",I'm not making a stressor moon.,neutral
"00:17:08,000","00:17:12,000",waardoor als er een stressvolle situatie op mij af komt.,"Which, when a stressful situation comes to me.",neutral
"00:17:12,000","00:17:13,000",U vond het geen angst?,You didn't think it was scared?,neutral
"00:17:13,000","00:17:14,000","Nee, u denkt er niet van...","No, you don't think...",neutral
"00:17:14,000","00:17:15,000",...een auto.,...a car.,neutral
"00:17:15,000","00:17:17,000",U blijft aan.,You stay on.,neutral
"00:17:17,000","00:17:18,000",Ik kon geen kant uit.,I couldn't go anywhere.,fear
"00:17:18,000","00:17:19,000",Ik kon alleen maar...,All I could do was...,neutral
"00:17:19,000","00:17:21,000",...dat nu.,...that now.,neutral
"00:17:21,000","00:17:25,000",Zo bijna aanrijding zorgt ervoor dat ik legamerlijk heel erg ziek wordt.,Almost as close to hit-and-run as it gets me legamously very sick.,anger
"00:17:25,000","00:17:28,000",En daardoor ook weer dagenlang op bed lig.,And as a result lie on the bed again for days.,surprise
"00:17:28,000","00:17:34,000",Omdat mijn lichaam moet herstellen van het schrikmoment om uit mijn zout te norma.,Because my body needs to recover from the moment of shock to get out of my salt to norma.,neutral
"00:17:36,000","00:17:38,000","Nou goed, ze heeft u duur bijna aan.","Well, she's almost expensive.",neutral
"00:17:38,000","00:17:39,000",Gereden zegt u.,You say it was a car accident.,neutral
"00:17:39,000","00:17:41,000",We zijn er nog meer dingen gebeurd.,We've done more than that.,neutral
"00:17:41,000","00:17:44,000","Eigenlijk van alles, ze fotografieert, alles wat we doen.","Actually, everything, she's photography, everything we do.",neutral
"00:17:47,000","00:17:50,000",Als we de camperier hebben staan en ik zette auto er even naast...,Once we've got the RV and I've put the car next door...,neutral
"00:17:50,000","00:17:53,000","...om een boodschappen te lossen, dan staat ze al weer foto's te maken.","...to unload a message, she's already taking pictures again.",neutral
"00:17:53,000","00:17:56,000",Zo draaien u zich niet houd aan de pakkeerregels?,That's how you're not gonna play by the rules?,happiness
"00:17:56,000","00:17:58,000","Ja, staat ze gelijk met de camera klaar.","Yeah, she's right on the camera.",neutral
"00:17:58,000","00:17:59,000",Dat staat ze klaar.,That's what they're ready for.,neutral
"00:17:59,000","00:18:01,000","Ja, en dat vindt u vervelend.","Yeah, and that bothers you.",happiness
"00:18:01,000","00:18:02,000",Absoluut?,Absolutely?,neutral
"00:18:02,000","00:18:04,000","Ja, ik ben er helemaal klaar mee.","Yeah, I'm done.",surprise
"00:18:04,000","00:18:07,000","Ik ben helemaal niet geweldadig, absoluut niet.","I'm not violent at all, absolutely not.",happiness
"00:18:07,000","00:18:11,000",Maar voor haar ga ik met liefde 60 uurtjes schoffelen.,"But for her, I'd love to kick ass for 60 hours.",surprise
"00:18:11,000","00:18:13,000",Dat is een bitter huisbraak.,That's a bitter home break.,fear
"00:18:13,000","00:18:14,000",Ja.,Yeah.,neutral
"00:18:14,000","00:18:15,000",Die u daar doet.,The one you're doing there.,neutral
"00:18:15,000","00:18:16,000",Ja.,Yeah.,neutral
"00:18:16,000","00:18:18,000",De buurvrouw moet gewoon ophouden met haar gezeuren.,The neighbor should just stop whining.,happiness
"00:18:18,000","00:18:20,000",We staan echt niemand in de weg.,There's no way we're gonna stand in anybody's way.,neutral
"00:18:20,000","00:18:21,000",We zijn niemand tot last.,We're not bothering anyone.,neutral
"00:18:21,000","00:18:26,000",En we willen gewoon rust hebben ook buiten op de pakkeerplaats.,And we just want to have peace and quiet outside at the packing place.,surprise
"00:18:26,000","00:18:28,000",Ze is gewoon een zeerwijk.,She's just a neighborhood.,surprise
"00:18:31,000","00:18:33,000","Meester, Vissen komt hier straks naartoe.","Master, Pisces will be here soon.",neutral
"00:18:33,000","00:18:35,000",En die komt te zaken goed onderzoeken.,And he's gonna do a good job of looking into it.,neutral
"00:18:35,000","00:18:37,000",Want daar lijkt me duidelijk de moedings gebeuren.,Because that's clearly where the courage happens.,disgust
"00:18:37,000","00:18:39,000",Wat is u eis voor meester Vissen?,What is your demand for Master Fish?,neutral
"00:18:39,000","00:18:42,000",Een totaal contact en ongangsverwod.,A total contact and unwelcome.,fear
"00:18:42,000","00:18:45,000",En dat ze niet meer hier over het pakkeertrein rijdt.,And that she doesn't drive the package train here anymore.,fear
"00:18:45,000","00:18:47,000",Zo als ze nu rijdt.,Like she's driving now.,neutral
"00:18:47,000","00:18:48,000",Ja.,Yeah.,neutral
"00:18:48,000","00:18:50,000",En anders moet het zeeberij mee gaan kijken.,"And if you don't, the sea is gonna have to watch it.",happiness
"00:18:50,000","00:18:51,000",Ik dank u wel.,Thank you.,surprise
"00:18:51,000","00:18:54,000",Ik kom die straks weer halen als de meester met hoetje.,I'm gonna come back and get it as the master of hats.,neutral
"00:18:54,000","00:18:55,000",Gearieveerd is.,It's okay.,neutral
"00:18:55,000","00:18:56,000",En voor rustigant.,And for quiet.,neutral
"00:18:56,000","00:18:57,000",En voor rustigant.,And for quiet.,neutral
"00:18:57,000","00:18:58,000",En voor rustigant.,And for quiet.,neutral
"00:18:58,000","00:18:59,000","Ja, ik wil straks weer halen.","Yeah, I'd like to pick up later.",neutral
"00:18:59,000","00:19:00,000",En maar goed.,Anyway...,surprise
"00:19:00,000","00:19:01,000",Tot straks.,See you later.,neutral
"00:19:01,000","00:19:02,000",Tot straks.,See you later.,neutral
"00:19:02,000","00:19:05,000","Nou, ik vind het eigenlijk wel interessant vandaag.","Well, actually, I find it kind of interesting today.",surprise
"00:19:05,000","00:19:08,000",Want we hebben te maken met een typisch gevaletje Oogholans pakkeerleed.,'Cause we're dealing with a typical case of Oogholan's beatings.,disgust
"00:19:08,000","00:19:11,000",Dus ik denk dat heel veel mensen thuis nu ook op het puntje van hun stol zitten.,"So I'm guessing a lot of people at home are on the edge of their clot now, too.",neutral
"00:19:11,000","00:19:15,000",Want pakkeeren is een heethangheizen in heel veel buurten in Nederland.,Because packing is a hot-hang heizen in many neighborhoods in the Netherlands.,fear
"00:19:15,000","00:19:16,000",En over heetgesproken.,And speaking of hot.,neutral
"00:19:17,000","00:19:19,000",Het gaat de pittig aan toe tussen bij de dammen.,It's gonna be the spicy one between the dams.,neutral
"00:19:19,000","00:19:20,000",Zo lustig.,It's so delicious.,neutral
"00:19:20,000","00:19:21,000",Maar ik ga wel rauw.,But I'm going raw.,surprise
"00:19:21,000","00:19:24,000",Tony is het typen van regels en regels.,Tony is the type of rules and rules.,neutral
"00:19:24,000","00:19:25,000",En daar heb je je aan het houden.,And that's where you're keeping yourself.,neutral
"00:19:25,000","00:19:27,000",Terwijl Oogholan zeggen die wel doen is er moeilijk.,"While Oogholan says they do, it's hard.",fear
"00:19:27,000","00:19:30,000",En vooral zeer niet overal over.,"And most of all, not all of it.",neutral
"00:19:30,000","00:19:32,000",Daarom ben ik blij dat meestervissen onderweg is.,That's why I'm glad master fish are on their way.,surprise
"00:19:32,000","00:19:36,000",Die heeft een lampmeter meegenomen om nou eens te kijken hoe groot dat pakkeervat precies is.,He took a lampmeter with him to see exactly how big that packer is.,neutral
"00:19:36,000","00:19:38,000",En daar gezien de dammens.,And look at the checkers.,neutral
"00:19:38,000","00:19:41,000",De laatste tijd vooral gecommuniseerd hebben vier de voorzitter van de VVE.,"More recently, four of them have been communicating with the President of the CCE.",happiness
"00:19:41,000","00:19:45,000",Lijkt het mijn goed idee om er is gewoon feest toe feest mee elkaar te praten.,Seems like my idea of just having a party to talk to each other.,surprise
"00:19:45,000","00:19:48,000",En dat gaan we uiteraard doen op de pakkeerplaten.,And of course we're going to do that on the packing plates.,neutral
"00:19:48,000","00:19:50,000",Tony staat al parat.,Tony's getting paranoid.,neutral
"00:19:50,000","00:19:52,000","Jao, vikt dat ik wacht op de buur.","Jao, catch me waitin' for the neighbor.",neutral
"00:19:52,000","00:19:54,000",Ooghaar. Komt u de rook bij.,"Eye hair, wake up the smoke.",neutral
"00:19:54,000","00:19:55,000",Wacht op jouw.,Wait for you.,neutral
"00:19:55,000","00:19:56,000",Heel goed.,Very good.,surprise
"00:19:56,000","00:19:58,000",Als u daar komt staan.,If you'll just step over there.,neutral
"00:19:58,000","00:20:00,000",Goed er een boke aan nog.,"Good, good, good, good, good, good, good, good, good, good, good.",neutral
"00:20:00,000","00:20:01,000","Nee, liever niet.","No, I'd rather not.",happiness
"00:20:01,000","00:20:04,000",We groeten elkaar al jaren niet meer gaan.,We haven't greeted each other in years.,fear
"00:20:04,000","00:20:06,000","Nou, ook niet mee beginnen.","Well, don't even start.",happiness
"00:20:06,000","00:20:07,000",Nee.,No.,neutral
"00:20:07,000","00:20:11,000","Tony, wat stoort jou zo omzettend aan het pakkeer gedrag van de buur?","Tony, what bothers you so much about the neighbor's behavior?",neutral
"00:20:11,000","00:20:14,000",Nu staan dat dat wel zo kort op elkaar.,Now that's so close to each other.,neutral
"00:20:14,000","00:20:17,000",Maar normaal staan ze tot al of weg.,But they're usually all the way or all the way.,neutral
"00:20:17,000","00:20:20,000",Nu staat die eigen auto op zo'n vijnden terug.,Now that car is back on one of those furies.,fear
"00:20:20,000","00:20:22,000",Dat is normaal niet.,That's not normal.,happiness
"00:20:22,000","00:20:28,000","Jij zegt, ik vind het irritant dat ze buiten het pakkeer pakkeer.","You say, ""I find it annoying that they're outside the bush.""",happiness
"00:20:28,000","00:20:31,000",Waar voor heb je regelen mensen?,"What do you have orders for, people?",neutral
"00:20:31,000","00:20:33,000","Want zeg, het mag niet.","'Cause for starters, you can't.",happiness
"00:20:33,000","00:20:36,000","Nee, het is bestuurslitt. Dat is een voorbeeldseunctie.","No, it's administrative, it's an example of an injection.",happiness
"00:20:36,000","00:20:39,000",Ik ben al heel lang geen bestuurslitt meer.,I haven't been a board member in a long time.,surprise
"00:20:39,000","00:20:45,000","Volgens de regelen mensen hebben wij toestemming gehad om twee auto's achter elkaar te plaatsen,","According to the rules, we've had permission to put two cars in a row,",neutral
"00:20:45,000","00:20:47,000",omdat niemand er last van heeft.,'Cause it doesn't bother anyone.,neutral
"00:20:47,000","00:20:52,000","Ja, we hebben begrijp gereageerd dat dat overlast geeft voor rond.","Yeah, we've responded to understanding that that's trouble for round.",happiness
"00:20:52,000","00:20:53,000","Ja, dus?","Yeah, so?",neutral
"00:20:53,000","00:20:55,000","Dus ik weet niet, dat ze keertje reilijs kunnen nemen.",So I don't know that they can have some giant ice cream.,fear
"00:20:55,000","00:20:57,000",We moeten kijken hoeveel plek we hier hebben.,We need to see how much space we have here.,neutral
"00:20:57,000","00:20:59,000",Ze hebben het te rijden aanpassen.,They've changed it to drive.,neutral
"00:20:59,000","00:21:00,000",Nee.,No.,neutral
"00:21:00,000","00:21:08,000",Mevrouw Lacht om het klagen seurd om het seuren en ze proberen daarmee en heel gezien naar de knoppen te helpen.,"Mrs. Laughs about suing it, and they're trying, and they're really trying, to screw it up.",happiness
"00:21:09,000","00:21:13,000","TVVE is niet voor niks, die zelfde VVE heeft.",There's a reason TVVE has the same VVE.,surprise
"00:21:13,000","00:21:17,000","Wat nou duizend, we hebben het nu tegen mij dat we alles ventileerd via de VVE.","What the hell, a thousand, we're talking to me now that we're venting everything through the VVE.",happiness
"00:21:17,000","00:21:19,000",Dat is uw probleem.,That's your problem.,neutral
"00:21:19,000","00:21:20,000",Waarom niet?,Why not?,neutral
"00:21:20,000","00:21:21,000",Maar je moet gewoon eens reis.,But you just have to travel.,neutral
"00:21:21,000","00:21:26,000","Nee, ik ben zo vaak uitgeschonden door mevrouw omga.","No, I've been offended so many times by Mrs. Onga.",happiness
"00:21:26,000","00:21:27,000",Waarom schelt u?,Why are you screaming?,neutral
"00:21:27,000","00:21:28,000",Omdat mevrouw A.,Because Mrs. A.,neutral
"00:21:28,000","00:21:30,000",Mijn twee keer heeft het proberen aan te rijden.,My two times tried to drive it.,neutral
"00:21:30,000","00:21:34,000",B. Mevrouw heeft tot twee keer toegarmiddel vingen naar mij opgestouden.,B. Ma'am has picked up on me twice.,neutral
"00:21:34,000","00:21:35,000",Hoe je luisteren?,How do you listen?,neutral
"00:21:36,000","00:21:37,000",Dit is mijn pekervak.,This is my pecking hole.,neutral
"00:21:37,000","00:21:38,000",Het is mijn pekervak.,It's my pecking hole.,neutral
"00:21:38,000","00:21:43,000",Ik ben niet bedrijf door jou op mijn eigen pekervak.,I'm not a company because of you in my own business.,neutral
"00:21:43,000","00:21:45,000",Als ik motorlees had te maken.,If I had bike reading to do.,fear
"00:21:45,000","00:21:46,000",En die heb je vaak geloeg gedaan.,And you've been lying to me a lot.,happiness
"00:21:46,000","00:21:48,000",Dat zijn de minne vinger opsteed.,That's the love finger ascended.,neutral
"00:21:48,000","00:21:49,000",Dan ben je mij.,Then you're me.,neutral
"00:21:49,000","00:21:50,000",Wat is het toen gebeurd?,What happened then?,neutral
"00:21:50,000","00:21:52,000",Want toen heeft u hier de auto gepakkeerd?,'Cause that's when you grabbed the car here?,neutral
"00:21:52,000","00:21:53,000",Toen was ze nog net uitstappen.,She was just getting out of the car.,neutral
"00:21:53,000","00:21:54,000",En toen?,And then what?,neutral
"00:21:54,000","00:21:56,000",Heb ik het drie rondjes om de auto achteruit laten lopen.,I did three laps to reverse the car.,neutral
"00:21:56,000","00:21:57,000",Alls geldend.,All valid.,neutral
"00:21:57,000","00:21:58,000",Ja.,Yeah.,neutral
"00:21:58,000","00:21:59,000",En wat heeft u toen allemaal gehoepen?,And then what did you do to help?,neutral
"00:21:59,000","00:22:00,000",Dat weet ik niet.,I don't know.,fear
"00:22:00,000","00:22:01,000","Ja, ik moet het niet.","Yeah, I don't have to.",happiness
"00:22:01,000","00:22:04,000",Maar ik heb in elk keer in jouw probleem.,But I have in every time your problem.,happiness
"00:22:05,000","00:22:06,000",Je moet het niet.,You don't have to.,happiness
"00:22:06,000","00:22:10,000",Ik heb in elk geval geroepen dat als ze nog een keer hermiddel ving.,"Well, at least I called out that if she took another shot...",surprise
"00:22:10,000","00:22:11,000",Na mij opsteed.,After I took off.,neutral
"00:22:11,000","00:22:13,000",Dat ik allebei de photo brek.,That I'm both gonna break the photo.,neutral
"00:22:15,000","00:22:16,000",Die stapel gek.,That pile of crazy.,happiness
"00:22:16,000","00:22:18,000",Dan bekersten je de bovenkamer.,You'll convert the upper room.,neutral
"00:22:18,000","00:22:19,000",De weet nog stapel gek.,The one who remembers crazy.,happiness
"00:22:22,000","00:22:23,000",Dan hebben we nog de foto's.,Then we still have the photos.,neutral
"00:22:23,000","00:22:25,000","Ja, we willen het niet meer op jouw foto.","Yeah, we don't want it in your picture anymore.",happiness
"00:22:26,000","00:22:28,000",Dit is gemeenschapelijk te rijden ze al aan.,This is community to ride them on already.,surprise
"00:22:28,000","00:22:29,000",Achte eigenaren.,Eight owners.,neutral
"00:22:29,000","00:22:31,000",Maar ik...,But I...,neutral
"00:22:31,000","00:22:33,000",Er gek je fout toe te snemen.,It's crazy to take advantage of you.,happiness
"00:22:33,000","00:22:36,000",Het is ook mijn teraide waar ik woot en waar ik leef.,It's also my teraid where I cook and where I live.,neutral
"00:22:36,000","00:22:37,000",Hier komen we niet uit.,We're not gonna get out of here.,fear
"00:22:37,000","00:22:40,000",Daarom ben ik heel blij dat het meeste visig aan riviert is.,That's why I'm very happy to see most of the fishy river.,surprise
"00:22:40,000","00:22:43,000",Als de auto's in de vakken gepakeerd worden.,When the cars get caught in the classes.,neutral
"00:22:43,000","00:22:46,000",Als jij dan gewoon rijles neemt de stok op gelozen.,"Well, if you're just gonna take driving lessons, you're gonna have to take the baton on the outlaws.",happiness
"00:22:46,000","00:22:47,000",Meestig visselen van hart en welkom.,Mostly fish of heart and welcome.,surprise
"00:22:47,000","00:22:48,000",Je bent wel goed.,You're good.,surprise
